ID poste,Se movio el poste?,ID linea,ID Ruta Aerea,Distancia,Cantidad de cruceros,,Resumen Infraestructura
1239696181,1,1,1,65.42,5,Nombre de distrito,NCO0004FO
1239697251,1,2,2,23.79,,Postes,35
1239697271,1,3,3,17.05,,Rutas aereas,32
1239697281,1,4,4,53.45,,Cruceros,5
1239697291,1,5,5,23.2,,Trazo para retenidas,1
1239697241,1,6,6,19.51,,,
1239697261,1,7,7,51.08,,,
1239697571,1,8,8,35.23,,,
1239697561,1,9,9,22.41,,,
1239697551,1,10,10,39.94,,,
1239697491,1,11,11,41.05,,,
1239697511,0,,12,8.97,,,
1239697501,0,,13,17.25,,,
1239697481,1,12,14,46.98,,,
1239697531,0,,15,43.13,,,
1239697541,1,13,16,8.07,,,
1239697301,1,14,17,22.72,,,
1239697311,1,15,18,36.72,,,
1239697471,1,16,19,12.45,,,
1239697461,1,17,20,29.56,,,
1239697431,1,18,21,51.22,,,
1239697421,1,19,22,26.79,,,
1239697411,1,20,23,31.6,,,
1239697401,0,,24,31.45,,,
1239697391,0,,25,11.6,,,
1239697321,1,21,26,43.01,,,
1239697331,1,22,27,30.04,,,
1239697341,0,,28,29.04,,,
1239697351,1,23,29,43.88,,,
1838218638,1,24,30,15.37,,,
1838218622,1,25,31,28.6,,,
1239697381,0,,32,36.41,,,
1239697371,1,26,,,,,
1239697361,1,27,,,,,
1838218606,1,28,,,,,
